city,period,mom_index_last_month_100,yoy_index_same_month_last_year_100,avg_index_jan_dec_last_year_100,mom_change_percent,yoy_change_percent,source,population_2020_census,population_source
Wuhan,2025-12,100.0,96.6,95.8,0.0,-3.4,NBS official table I,10494879,"China Seventh National Census (2020), city-level urban aggregates"
Pingdingshan,2025-12,99.5,98.7,99.1,-0.5,-1.3,NBS official table I,1045966,"China Seventh National Census (2020), city-level urban aggregates"
Changsha,2025-12,99.6,97.9,96.5,-0.4,-2.1,NBS official table I,5630256,"China Seventh National Census (2020), city-level urban aggregates"
Yichang,2025-12,100.1,100.4,98.2,0.1,0.4,NBS official table I,1284305,"China Seventh National Census (2020), city-level urban aggregates"
Guangzhou,2025-12,99.4,95.2,94.4,-0.6,-4.8,NBS official table I,16096724,"China Seventh National Census (2020), city-level urban aggregates"
Xiangyang,2025-12,99.6,96.5,95.3,-0.4,-3.5,NBS official table I,1686403,"China Seventh National Census (2020), city-level urban aggregates"
Shenzhen,2025-12,99.5,95.6,96.8,-0.5,-4.4,NBS official table I,17444609,"China Seventh National Census (2020), city-level urban aggregates"
Yueyang,2025-12,99.7,95.6,94.6,-0.3,-4.4,NBS official table I,1125448,"China Seventh National Census (2020), city-level urban aggregates"
Nanning,2025-12,99.8,99.3,97.4,-0.2,-0.7,NBS official table I,4582703,"China Seventh National Census (2020), city-level urban aggregates"
Changde,2025-12,99.4,96.0,94.8,-0.6,-4.0,NBS official table I,1100719,"China Seventh National Census (2020), city-level urban aggregates"
Haikou,2025-12,99.4,95.1,95.6,-0.6,-4.9,NBS official table I,2349239,"China Seventh National Census (2020), city-level urban aggregates"
Shaoguan,2025-12,100.1,98.3,95.8,0.1,-1.7,NBS official table I,803375,"China Seventh National Census (2020), city-level urban aggregates"
Chongqing,2025-12,99.7,97.1,96.5,-0.3,-2.9,NBS official table I,9580819,"China Seventh National Census (2020), city-level urban aggregates"
Zhanjiang,2025-12,99.2,96.5,96.3,-0.8,-3.5,NBS official table I,1400709,"China Seventh National Census (2020), city-level urban aggregates"
