country,region,ewaste_generated_million_kg_2022,ewaste_generated_kg_per_capita_2022,ewaste_documented_collected_million_kg_2022,source_report
Guinea,Africa,14.0,1.0,,Global E-waste Monitor 2024 (UNITAR/ITU)
Guinea-,Africa,1.0,0.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Guyana,Americas,7.0,8.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Haiti,Americas,12.0,1.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Honduras,Americas,36.0,3.5,0.1,Global E-waste Monitor 2024 (UNITAR/ITU)
Hungary,Europe,138.0,14.3,90.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Iceland,Europe,8.0,22.4,4.8,Global E-waste Monitor 2024 (UNITAR/ITU)
India,Asia,4137.0,2.9,59.6,Global E-waste Monitor 2024 (UNITAR/ITU)
Indonesia,Asia,1886.0,6.9,,Global E-waste Monitor 2024 (UNITAR/ITU)
Iran (Islamic Republic of),Asia,817.0,9.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Iraq,Asia,267.0,6.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Ireland,Europe,103.0,20.6,67.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Israel,Asia,148.0,16.5,72.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Italy,Europe,1124.0,19.0,461.6,Global E-waste Monitor 2024 (UNITAR/ITU)
Jamaica,Americas,21.0,7.4,0.1,Global E-waste Monitor 2024 (UNITAR/ITU)
Japan,Asia,2638.0,21.2,613.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Jordan,Asia,69.0,6.1,1.6,Global E-waste Monitor 2024 (UNITAR/ITU)
Kazakhstan,Asia,196.0,10.2,12.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Kenya,Africa,88.0,1.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Kiribati,Oceania,0.0,1.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
