entity_type,entity,period,metric,value,unit,source
national,China (70-city aggregate),2025-12,new_home_price_mom,-0.4,percent,TradingEconomics (NBS 70-city)
national,China (70-city aggregate),2025-12,new_home_price_yoy,-2.7,percent,TradingEconomics (NBS 70-city)
city,Guangzhou,2025-12,new_home_price_yoy,-4.8,percent,TradingEconomics news text
city,Shenzhen,2025-12,new_home_price_yoy,-4.4,percent,TradingEconomics news text
city,Tianjin,2025-12,new_home_price_yoy,-3.0,percent,TradingEconomics news text
city,Chongqing,2025-12,new_home_price_yoy,-2.9,percent,TradingEconomics news text
city,Beijing,2025-12,new_home_price_yoy,-2.4,percent,TradingEconomics news text
city,Shanghai,2025-12,new_home_price_yoy,4.8,percent,TradingEconomics news text
market_breadth,Cities with new-home price decline (count),2025-12,new_home_price_decline_cities,58,count,Reuters report
